PMCID,female,male,female_percentage,male_percentage
PMC2938342,,,,
PMC2938547,142,,,
PMC2939051,6,,,
PMC2940216,105,13,,
PMC2940751,192,,,
PMC2941046,,,,
PMC2941053,80,,,
PMC2941586,50,36,,
PMC2942800,7,,,
PMC2942866,5,13,,
PMC2943102,386,,,
PMC2943745,,,,
PMC2943915,19,14,,
PMC2944091,,950,,
PMC2944174,,3,,
PMC2944241,11,11,,
PMC2944340,637,,,
PMC2944787,,,,
PMC2944811,8,6,,
PMC2944968,28,30,,
PMC2945027,50,8,,
PMC2945333,,,,
PMC2945347,167,,,
PMC2945355,57,,,
PMC2946995,,18,,
PMC2947518,,,,
PMC2948906,,,,
PMC2949597,28,55,,
PMC2949660,186,,,
PMC2949710,2,8,,
PMC2949781,4500,,,
PMC2949801,4,6,,
PMC2949857,,2741,,
PMC2950392,2,14,,
PMC2950934,205,326,,
PMC2951137,12,,,
PMC2951359,53,143,,
PMC2952096,2,16,,
PMC2952299,40,44,,
PMC2953500,,,,66
PMC2953508,,,,
PMC2954155,5,7,,
PMC2954177,,89,,
PMC2954785,76,,,71
PMC2954843,57,146,,
PMC2954853,54,72,,
PMC2954875,,,,
PMC2954883,,,,
PMC2955651,16,28,,
PMC2957100,,37,,
PMC2957577,10,20,,
PMC2958128,6,8,,
PMC2958564,9,7,,
PMC2958814,442,539,,
PMC2958984,104,257,,
PMC2959011,9,49,,
PMC2963533,51,,,
PMC2963540,,2,,
PMC2965089,2341,,,
PMC2965143,7,20,,
PMC2965706,518,,,
PMC2965719,271,,,
PMC2965860,1155,,,
PMC2966422,8,15,,
PMC2966622,,104,,
PMC2967471,10,,,
PMC2973972,18,,,
PMC2974732,,55,,
PMC2975627,,,,
PMC2975631,7,3,,
PMC2976690,,864,,
PMC2976782,,,,
PMC2978094,42,,,
PMC2978244,7,,,
PMC2978684,,59,,
PMC2978726,34,,,
PMC2980469,,41,,51
PMC2981551,30,,,
PMC2982027,11,18,,
PMC2983025,12,16,,
PMC2984511,,,,
PMC2987816,,,,
PMC2987909,10,40,,
PMC2988211,,,,
PMC2988618,15,77,,
PMC2988724,22,16,,
PMC2988736,88,,,
PMC2988752,,5,,
PMC2988769,2,3,,
PMC2989863,,,,
PMC2989917,,,,
PMC2990857,,103,,
PMC2991172,,,,57
PMC2992501,5,7,,
PMC2992502,6,6,,
PMC2992910,,32,,
PMC2993484,,8,,
PMC2993709,636,,,
PMC2993883,,49,,
PMC2994159,42,,,
PMC2994738,6,,,
PMC2994814,,,,
PMC2995065,,,,
PMC2995212,19,,,
PMC2995312,127,,,
PMC2995468,276,190,,
PMC2996061,2,4,,
PMC2996385,,11,,
PMC2996992,4,,,
PMC2997232,77,,,
PMC2997242,300,,,
PMC2998980,,,,
PMC3000095,,24,,
PMC3000363,,,,
PMC3000399,4,9,,
PMC3001153,30,,,
PMC3001451,7,4,,
PMC3001723,458,,,
PMC3002325,36,9,,
PMC3002760,184,28,,
PMC3002933,14,7,,
PMC3003511,,,,
PMC3003648,338,996,,
PMC3005828,16,16,,
PMC3007633,1,2,,
PMC3008752,12,,,
PMC3008809,26,25,,
PMC3009700,15,,,
PMC3011091,,457,,
PMC3012035,5,,,
PMC3012081,15,14,,
PMC3012196,,,,
PMC3012668,,,,
PMC3012671,3,10,,
PMC3013130,477,168,,
PMC3014101,45,,,
PMC3014697,4,6,,
PMC3015065,13,15,,
PMC3015066,34,36,,
PMC3016298,,56,,
PMC3016333,,551,,
PMC3016512,15,19,,
PMC3017003,78,76,,
PMC3017062,,,,
PMC3017329,308,,,
PMC3017442,,,,
PMC3017546,13,,,
PMC3018062,,,,
PMC3018645,,,,
PMC3018653,752,,,
PMC3020567,17,,,
PMC3021547,69,,,
PMC3021880,17,,,
PMC3022186,9,,,
PMC3022687,89,21,,
PMC3022762,33,##28,,
PMC3022900,,,,
PMC3023789,,25,,
PMC3024391,21,17,,
PMC3025565,,24,,
PMC3026044,8,4,,
PMC3026342,,,,
PMC3026686,,79,,77
PMC3027083,4,3,,
PMC3027618,18,5,,
PMC3029467,34,,,65
PMC3030750,##6,161,,
PMC3030786,20,2,,
PMC3031025,,18,,
PMC3031601,,254,,
PMC3031894,200,,,
PMC3032523,,,,
PMC3032655,341,166,,
PMC3032727,612,475,,
PMC3032742,2,4,,
PMC3033882,23,,,
PMC3033883,6,3,,
PMC3034187,,,,
PMC3035781,3,3,,
PMC3036829,22,2,,
PMC3036976,8,13,,
PMC3037286,,13,,
PMC3038890,,,,
PMC3039221,14,,,
PMC3039959,,,,
PMC3039960,,50,,
PMC3040144,550,,,
PMC3040615,130,,,
PMC3041992,,9,,
PMC3042625,##8,,,
PMC3042676,18,2,,
PMC3042972,16,16,,
PMC3044104,,3,,
PMC3044173,,,,
PMC3044562,8,19,,
PMC3045047,18,,,
PMC3045309,6,6,,
PMC3046429,29,,,
PMC3046855,,49,,
PMC3047139,,,,
PMC3047532,10,3,,
PMC3047976,128,,,
PMC3048287,,50,,
PMC3050918,100,,,
PMC3051153,34,72,,
PMC3051227,460,24,,
PMC3053239,18,23,,
PMC3053448,12,12,,
PMC3056125,12,13,,
PMC3056175,,13,,
PMC3056659,43,4,,
PMC3056779,17,6,,
PMC3057996,9,11,,
PMC3059470,734,,,
PMC3059820,16,15,,
PMC3059884,3,,,
PMC3059931,17,15,,
PMC3060803,,,,
PMC3060864,,,,
PMC3061355,,,,
PMC3061851,175,,,
PMC3062971,13,,,
PMC3063872,,5,,
PMC3064101,570,,,
PMC3064584,,##1,,
PMC3065372,86,,,
PMC3068155,4,3,,
PMC3069036,7,,,
PMC3069966,,21,,
PMC3070654,,,,
PMC3070669,5,,,
PMC3071317,19,3,,
PMC3071322,,,,
PMC3071810,,,,
PMC3071943,3,7,,
PMC3072208,36,3,,
PMC3073865,7,3,,
PMC3074547,,30,,
PMC3076082,,,,
PMC3076269,105,,,
PMC3077211,15,,,
PMC3078598,59,,,
PMC3079594,9,11,,
PMC3079679,23,,,
PMC3079703,4000,,,
PMC3080361,16,,,
PMC3080396,89577,,,
PMC3080865,31,,,
PMC3081825,8,8,,
PMC3082218,21,19,,
PMC3082508,,,,63
PMC3082533,14,20,,
PMC3082852,,,,
PMC3083370,18,24,,
PMC3083386,,,,
PMC3083427,6,21,,
PMC3084244,60,39,,
PMC3084265,,39,,65
PMC3084867,14,5,,
PMC3084870,,8,,
PMC3085124,,554,,
PMC3085354,101,71,,
PMC3086869,23,22,,
PMC3089633,,,,
PMC3090503,,,,
PMC3091691,,14,,
PMC3091873,2,4,,
PMC3093543,,,,
PMC3093781,2,1,,
PMC3094411,,63,,
PMC3094415,,546,,
PMC3094534,3,48,,
PMC3095626,,121,,
PMC3095814,26,4,,
PMC3095978,,,,
PMC3096641,6,10,,
PMC3097185,,15,,
PMC3100681,,,,
PMC3101241,,2,,
PMC3101344,1,6,,
PMC3101607,,,,
PMC3102603,38,80,,
PMC3102701,5,7,,
PMC3103883,1,3,,
PMC3104684,46,,,
PMC3104817,7,10,,
PMC3104945,7,47,,
PMC3104969,30,20,,
PMC3107857,10,,,
PMC3108901,12,18,,
PMC3108978,11,,,
PMC3109523,14,9,,
PMC3109581,821,,,
PMC3109589,11,,,
PMC3111104,7,19,,
PMC3111159,2738,,,
PMC3111377,,,,
PMC3112130,,415,,
PMC3112481,59,50,,
PMC3113947,2,10,,
PMC3114099,,,,
PMC3114591,,,,
PMC3114718,,5,,
PMC3114819,138,,,
PMC3115890,,,,
PMC3115947,,,,
PMC3116499,,,,
PMC3116807,4,7,,
PMC3116818,49,,,
PMC3117762,100,897,,
PMC3117792,14,,,
PMC3117799,10,8,,
PMC3118811,480,535,,
PMC3119179,,,,
PMC3119498,,,,
PMC3119595,22,19,,
PMC3120744,40,,,
PMC3120805,40,42,,
PMC3121334,5,,,
PMC3121424,,28,,
PMC3121644,,15,,
PMC3121774,16,12,,
PMC3122085,9,26,,
PMC3123563,68,,,
PMC3123620,,1256,,
PMC3123910,28,12,,
PMC3125099,20,16,,
PMC3126709,,,,
PMC3127018,,,,
PMC3128008,16,34,,
PMC3128931,,,,50
PMC3129295,928,,,
PMC3129348,,289,,
PMC3130204,3,10,,
PMC3130670,72,,,
PMC3130995,20,,,
PMC3131124,,,,
PMC3131384,18,17,,
PMC3131516,105,,,
PMC3131543,105,27,,
PMC3132064,14,6,,
PMC3132165,11,22,,
PMC3132215,180,197,,
PMC3132671,,11,,
PMC3132708,37,64,,
PMC3132889,15,14,,
PMC3133878,,,,
PMC3134977,160,,,
PMC3136137,126,794,,
PMC3136508,,,,
PMC3136532,15,5,,
PMC3136688,32,57,,
PMC3137632,,,,
PMC3137996,392,279,,
PMC3139190,50,,,
PMC3139872,0,1,,
PMC3140274,,,,
PMC3140506,21,8,,
PMC3141418,,,,
PMC3141631,42,,,
PMC3141838,60,68,,
PMC3142046,272,383,,
PMC3142060,46,46,,
PMC3142551,,11,,
PMC3142667,,26,,
PMC3142773,,10,,
PMC3143489,15,11,,
PMC3144618,8,13,,
PMC3144955,15,,,
PMC3145037,165,136,,
PMC3145255,14,,,
PMC3145660,15,8,,
PMC3145763,,,,
PMC3146394,7,5,,
PMC3146402,385,639,,
PMC3146704,,7735,,
PMC3146818,,,,
PMC3146990,31,,,
PMC3148203,,26,,
PMC3148429,3762,,,
PMC3148553,2175,1958,,
PMC3149602,9,14,,
PMC3149657,,,,
PMC3149659,,3,,
PMC3151268,14,14,,
PMC3151278,,,,50
PMC3152733,8,20,,
PMC3153368,516,488,,
PMC3153383,,##6,,
PMC3153388,,822,,
PMC3153391,72,23,,
PMC3153781,20,,,
PMC3153813,11,,,
PMC3153933,178,,,
PMC3153999,1370,817,,
PMC3154111,2,1,,
PMC3154343,793,505,,
PMC3154347,199,,,
PMC3154959,180,197,,
PMC3155541,506,449,,
PMC3157390,,,,58
PMC3157422,,78,,
PMC3157761,58,55,,
PMC3159052,246,,,
PMC3159132,,,,
PMC3160348,15,2,,
PMC3160981,230,,,
PMC3161062,19,,,
PMC3161077,100,,,
PMC3161280,2,12,,
PMC3161935,8,8,,
PMC3162204,6,5,,
PMC3162205,25,8,,
PMC3162895,61,,,
PMC3163127,16,,,
PMC3163402,9,5,,
PMC3163524,,,,
PMC3164134,,,,
PMC3164142,5,4,,
PMC3166739,,354,,
PMC3167309,12,3,,
PMC3167310,8,2,,
PMC3167329,,,,
PMC3168220,599,542,,
PMC3168367,20,,,
PMC3168586,62,85,,
PMC3169348,1001,,,
PMC3169448,9,23,,
PMC3169627,13,11,,
PMC3169833,73,,,27
PMC3170269,1200,812,,
PMC3170315,368,368,,
PMC3170917,17,3,,
PMC3172662,34,30,,
PMC3172906,29,35,,
PMC3173369,,800,,
PMC29093,,,,
PMC29094,4095,,,
PMC6021318,337,,,
PMC9485166,,,,
PMC8524116,12,8,,
PMC9108102,,57,,
PMC8722721,,,,
PMC5777026,16,,,
PMC3776236,11,,,
PMC7490425,,,,
PMC8451859,50,,,
PMC3978627,,,,
PMC4422698,27,25,,
PMC9587063,120,105,,
PMC4448997,6,,,
PMC7189590,,,,
PMC9161768,1411,,,
PMC3270895,84,,,
PMC5968875,,10,,
PMC8714925,49,,,
PMC6345500,289,199,,
PMC7246700,70,,,
PMC7673694,100,,,
PMC8785508,,300,,
PMC4761978,,,,
PMC3458111,,,,
PMC5344522,##3,10,,
PMC8047909,,,,
PMC4687063,4,5,,
PMC9391942,23,,,
PMC8802254,50,,,
PMC7930016,306,,,
PMC5266479,20,,,
PMC7068497,767,604,,
PMC3180274,55,,,
PMC8213594,16,,,
PMC3664459,24,,,
PMC4714133,5,6,,
PMC9618505,6,,,
PMC7953046,695,,,
PMC4209073,65,,,
PMC4898715,7,2,,
PMC8004598,,,,
PMC8711782,197,191,,
PMC8635692,21,10,,
PMC6132907,113,38,,
PMC5561372,,,,
PMC8233785,,,,
PMC4695141,,,,
PMC3401919,18,,,
PMC6449581,15,23,,
PMC5653198,11,21,,
PMC5947463,18,25,,
PMC3814533,31,24,,
PMC9033111,90,,,
PMC6277591,,,,
PMC6222038,11,,,
PMC3989273,,,,
PMC3849930,1102,905,,
PMC8439469,5,,,
PMC6562208,5,,,
PMC6375895,7,8,,
PMC5894566,22,22,,
PMC6540026,,,,
PMC3559299,,5,,
PMC5414656,67,,,
PMC4799524,15,15,,
PMC8417068,44,,,56
PMC6695540,28,32,,
PMC8894375,8,5,,
PMC3350467,94,54,,
PMC8516201,17,17,,
PMC3603247,1463,1153,,
PMC6469894,,,,
PMC3272419,,308,,
PMC4041345,53,70,,
PMC9427855,50,,,
PMC8198635,,,,
PMC6680729,,,,
PMC6733993,12,15,,
PMC5052226,,14,,
PMC7184753,17,17,,
PMC4435910,115,,,
PMC8296519,36,,,
PMC8811751,461,415,,
PMC6528067,,4,,
PMC4685061,28,58,,
PMC3559728,,,,
PMC9410802,33,34,,
PMC8727452,83,40,,
PMC4641419,24,61,,
PMC5799101,7362,7356,,
PMC4786977,196,,,
PMC4149332,37,23,,
PMC8429645,20,20,,
PMC9493423,3,8,,
PMC4164536,,140,,
PMC5554208,22,23,,
PMC4950564,,,,
PMC3990400,7,3,,
PMC5713666,16,15,,
PMC5753287,,,,
PMC8871578,,27,,
PMC7900490,54,,,
PMC7805950,113,26,,
PMC4494167,,,,
PMC7147639,22,,,
PMC7022893,10,,,
PMC9598161,,,,
PMC4908366,,,,
PMC5336434,94,,,
PMC6405899,,,,
PMC8998729,,,,98
PMC5560455,28,,,
PMC7414904,8,10,,
PMC9509794,,,,77
PMC6718925,12,17,,
PMC5337401,191,,,
PMC9580277,11,19,,
PMC6193697,12,12,,
PMC6896141,118,282,,
PMC5446811,,,,
PMC8459922,13,,,
PMC8353674,28,30,,
PMC4882416,15,1,,
PMC9260038,35,32,,
PMC4868236,,,,
PMC4189329,12,,,
PMC4407791,3,4,,
PMC7190183,40,,,
PMC8924169,,,,
PMC4911969,11,,,
PMC7452072,223,,,
PMC3971358,,,,
PMC6715818,,,,
PMC3317014,349,,,
PMC5328776,,,,
PMC4591446,20,30,,
PMC6790990,,,,
PMC3390074,50,,,
PMC8023449,,,,
PMC7146290,275,100,,
PMC7228948,##7,,,
PMC6822869,8,,,
PMC6952692,34,66,,
PMC8024691,,32,,
PMC8114412,1,0,,
PMC8888560,,148,,
PMC3923332,5,29,,
PMC4582474,,,,
PMC8228958,,,,
PMC9361934,54,,,
PMC8492669,9,16,,
PMC7433868,244,,,
PMC4464888,159,341,,
PMC6099322,,,,
PMC6727492,19,18,,
PMC6981667,,67,,
PMC7936074,62,54,,
PMC4664859,510,464,,
PMC4090170,41,,,59
PMC8742971,14,12,,
PMC9047483,,,,
PMC6604294,,,,
PMC6091378,15,,,
PMC7316338,,15,,
PMC4189794,1796,,,
PMC9523160,65,,,35
PMC9173646,,,,
PMC8219410,5,5,,
PMC4300875,,5,,
PMC5014532,50,,,50
PMC8318226,,,,
PMC5166542,502,,,
PMC4199060,,,,
PMC7499592,,,,46
PMC3181679,61,,,
PMC7719343,15,,,
PMC6461071,3,12,,
PMC4626867,60,,,
PMC8177428,,,,
PMC6492151,,2,,
PMC4708300,,,,
PMC9550739,,,,
PMC3404955,100,,,
PMC4710594,,,,
PMC6388600,16,,,
PMC3183500,,103,,
PMC4924188,,,,
PMC8024272,491,472,,
PMC3480912,192,,,
PMC8860762,11,10,,
PMC3176230,4,4,,
PMC8321604,16,17,,
PMC3349710,165,660,,
PMC7842062,18,,,
PMC8742670,17,13,,
PMC6787607,,10,,
PMC5355435,49,51,,
PMC8793814,,,,
PMC4022307,24,30,,
PMC5536366,19,19,,
PMC8007460,18,14,,
PMC8924836,16,31,,
PMC5420424,3,,,
PMC7711099,,,,
PMC7893151,116,82,,
PMC8145322,18,,,
PMC4926814,990,,,
PMC3425142,,476,,
PMC7310008,,,,
PMC5298962,16,,,
PMC3944299,16,,,
PMC4288242,5,,,
PMC8747884,119,,,
PMC8699246,,,,
PMC6417362,31,52,,
PMC5017311,12,,,
PMC5569133,21,21,,
PMC8417158,,44,,
PMC3350345,45,22,,
PMC4990161,13,,,
PMC9021670,,,,
PMC3520912,,,,
PMC9285827,134,,,
PMC7641955,41,59,,
PMC9546793,85,70,,
PMC7580901,53,,,
PMC7511861,,3,,
PMC7567834,,,,
PMC3400630,34,11,,
PMC5865503,45,28,,
PMC8206482,169,160,,
PMC4825453,,,,
PMC8450987,24,,,
PMC7379688,1,1,,
PMC6620237,22,25,,
PMC3941387,80,,,
PMC7851079,180,,,
PMC4936789,92,70,,
PMC8714020,,20,,
PMC7171491,21,24,,
PMC3533605,12,6,,
PMC7014838,15,,,
PMC7486082,885,,,
PMC5529219,,,,
PMC9536401,160,,,
PMC4274033,50,50,,
PMC5315499,8,28,,
PMC8721450,,,,
PMC3340369,3,12,,
PMC8609114,14,14,,
PMC6382922,48,150,,
PMC7770307,40,34,,
PMC9202903,,29,,
PMC6198565,384,,,
PMC4106636,17,,,
PMC9532022,56,,,
PMC5524406,,519,,
PMC5909006,,19,,
PMC3541377,,179,,
PMC5104367,1,16,,
PMC7763374,1477,,,
PMC5800182,,,,
PMC7583482,,,,
PMC5509594,,17,,
PMC3808801,2,4,,
PMC5869359,81,49,,
PMC5779655,,,,
PMC3268185,44,,,
PMC3646289,14,,,
PMC8825352,66,,,
PMC7789145,989,,,
PMC7586307,323,,,
PMC8186800,4,,,
PMC6572156,645,496,,
PMC5532511,1,0,,
PMC8172634,2678,40,,
PMC9248194,225,,,
PMC6129374,,,,
PMC7763969,,15,,
PMC8958261,,,,54
PMC8928741,,1,,
PMC9264536,227,,,
PMC7904138,20,,,
PMC8707413,28,,,
PMC6450257,,,,47
PMC4441881,,168,,
PMC7970968,3,7,,
PMC3560560,64,60,,
PMC3400033,36,,,
PMC5111487,64,31,,
PMC4643681,138,110,,
PMC6923761,181,221,,
PMC7700640,,,,
PMC5793289,95,61,,
PMC5920430,,,,50
PMC6771248,138,,,
PMC5667288,285,565,,
PMC7507955,7569,7430,,
PMC5486050,,,,
PMC4800965,4,16,,
PMC8221676,50,,,
PMC4481891,,12,,
PMC7572374,16,,,
PMC4883139,,426,,
PMC9022888,,,,
PMC3676725,,,,
PMC8581766,154,159,,
PMC7215407,195,328,,
PMC4392025,113,,,
PMC4524772,11,,,
PMC6458364,11,10,,
PMC5548159,,,,
PMC8254935,3340,,,
PMC5691671,,,,
PMC8097896,,,,68
PMC8805220,170,193,,
PMC3655168,,,,
PMC7015912,,,,
PMC7747630,7,13,,
PMC3707417,53,13,,
PMC8527576,,8,,
PMC9252864,,,,
PMC5080929,30,,,
PMC7610067,,60,,
PMC7533029,5,72,,
PMC9006611,55,20,,
PMC5452714,250,,,
PMC6537947,8,,,
PMC7897529,,54,,
PMC5149569,,21,,
PMC8660769,,,,
PMC7813232,88,101,,
PMC5084631,147,,,
PMC6514113,,,,
PMC8541455,11,12,,
PMC7688127,24,,,
PMC6174618,322,,,
PMC9234625,,,,
PMC4761961,10,,,
PMC6556016,8911,,,
PMC5017567,,43,,
PMC3751565,50,50,,
PMC8910854,,12,,
PMC7459494,15,85,,
PMC6505192,12,12,,
PMC5763330,979,,,
PMC7331880,15,,,
PMC5745950,46,,,
PMC6712434,0,,,
PMC4453230,,6,,
PMC8698135,,,,
PMC5546852,56,,,44
PMC5609760,,,,
PMC9394241,144,272,,
PMC4550750,20,10,,
PMC7260761,,,,
PMC8631781,,4,,
PMC4321608,,22,,
PMC9443658,,,,
PMC9542466,3,7,,
PMC5433278,11,11,,
PMC9435528,15,15,,
PMC8945596,8,10,,
PMC4404609,,,,
PMC9055171,77,359,,
PMC3858303,,,,
PMC8448373,,3,,
PMC5474411,174,14,,
PMC9230991,,,,
PMC7752006,9,41,,
PMC6382214,21,11,,
PMC7462612,,7,,
PMC8223723,15,8,,
PMC8216555,14,,,
PMC6567388,17,,,
PMC3356261,50,50,,
PMC3189200,20,11,,
PMC4442988,54,550,,
PMC4022468,26,12,,
PMC4497594,,,,
PMC4395440,5,3,,
PMC4941010,556,,,
PMC6597061,,59,,
PMC5790674,20,14,,
PMC8137369,,,,
PMC4497716,,,,
PMC5019363,,,,
PMC5876282,0,1,,
PMC3398876,127,,,
PMC4327600,,,,
PMC4284996,63,71,,
PMC9207990,28,24,,
PMC9102088,12,33,,
PMC5338250,6,,,
PMC7556964,500,439,,
PMC4624856,53,50,,
PMC4515105,91,83,,
PMC5153374,74,98,,
PMC8119683,1288,,,
PMC3533803,9,8,,
PMC3218004,4,13,,
PMC9436855,,,,
PMC7674802,14,,,
PMC8423236,5,4,,
PMC8387828,17,13,,
PMC8143013,,,,
PMC5207721,,1,,
PMC8486558,11,,,
PMC6295275,,,,
PMC6133777,28,24,,
PMC5073515,200,âˆ¼200,,
PMC3195294,48,,,
PMC7171125,462,354,,
PMC3955344,,187,,
PMC8429544,,,,
PMC9394844,405,,,
PMC7038357,,15,,
PMC5803165,24,16,,
PMC9067151,26,,,
PMC3553430,,,,
PMC8090802,46,,,
PMC6099746,,58,,
PMC7425254,,,,
PMC5015375,,2,,
PMC5690092,5,3,,
PMC8873978,414,736,,
PMC7690691,737,,,
PMC6817625,,,,
PMC3926001,,,,
PMC9497074,,28,,
PMC5881766,12,,,
PMC6676923,24,,,
PMC3446377,,,,
PMC6076215,,,,
PMC7375548,32,,,
PMC4099420,63,,,
PMC6508719,,,,
PMC9444743,18,12,,
PMC7068293,,13,,
PMC5565911,,,,
PMC5800210,660,,,
PMC8514907,8,6,,
PMC7546874,62,,,
PMC5396112,24,,,
PMC7887561,73,,,
PMC4240547,,,,
PMC4729471,5,,,
PMC7095834,,,,
PMC3744545,13,11,,
PMC9486665,348,,,
PMC4256068,15,,,
PMC6889494,,,,
PMC4632438,,,,
PMC5920256,,,,
PMC8139348,,,,
PMC8827232,,,,
PMC4589814,4,6,,
PMC7288308,168,,,
PMC7875882,15,,,
PMC7176815,17,,,
PMC3854295,,7,,
PMC8508702,,,,
PMC8483246,,,,
PMC3492211,100,,,
PMC8528989,65,,,
PMC9397903,22,14,,
PMC5325667,34,,,
PMC7378513,,210,,
PMC7886465,75,75,,
PMC8284157,300,,,
PMC4338830,100,,,
PMC5578099,17,,,
PMC4816398,,,,
PMC4700580,33,,,
PMC8645929,401,,,
PMC9330220,90,,,
PMC6292941,,,,
PMC4462787,100,,,
PMC7455413,,,,
PMC3903030,,,,
PMC6422954,24,,,
PMC8155958,,70,,
PMC5044773,,,,
PMC3770613,,,,
PMC7255626,36,76,,
PMC6880222,6,4,,
PMC8079639,,,,
PMC3384018,,##1,,
PMC5372899,,,,
PMC3434197,,1633,,
PMC4503860,443,,,
PMC4834361,,,,
PMC7111820,7,7,,
PMC8706355,28,78,,
PMC8519490,94,,,
PMC4705232,,,,
PMC8792128,,,,
PMC7171176,11,,,
PMC6582750,38,,,
PMC8699340,,,,
PMC6779723,101,90,,
PMC3405064,17,13,,
PMC8295926,,,,
PMC8543404,3,,,
PMC7355859,17,,,
PMC9139936,6,19,,
PMC5292032,521,,,
